,topic,title,author,content
0,business,3 employees at Hyundai's Chennai plant test positive for coronavirus,Pragya Swastik,"Hyundai Motor India on Sunday said its three employees at Chennai-based plant have tested positive for coronavirus after showing mild symptoms of cough and cold. The second-largest carmaker in the country had resumed operations at Irungattukottai-based plant (near Chennai) on May 8. All three employees are recovering fast towards normalcy, the company said."
1,business,CEO of New Zealand media outlet Stuff buys the company for ₹46,Dharna,"Sinead Boucher, the CEO of New Zealand-based media outlet Stuff, has bought the company from Australian broadcaster Nine Entertainment for just NZ$1 (around ₹46) to maintain local ownership. This comes a month after Stuff asked staff to voluntarily take pay cuts amid the coronavirus pandemic. Nine would take a hit of $26-29 million in its full-year results from the sale."
2,business,"Lockdown extensions won't help, cases will continue to rise: Anand Mahindra",Anushka Dixit,"Mahindra Group Chairman Anand Mahindra said that ""lockdown extensions won't help"" adding that the ""numbers will continue to rise"" regardless. ""Lockdown extensions aren't just economically disastrous, but also create another medical crisis,"" he tweeted. Mahindra added that the government should focus on the expansion of field hospital beds with oxygen lines instead. "
3,business,102-year-old car rental firm Hertz files for bankruptcy with a $19-billion debt,Dharna,"Global car rental company Hertz has filed for bankruptcy in a US court after more than 100 years in business. Founded in 1918, Hertz blamed the COVID-19 pandemic's ""dramatic"" impact on its revenues. It earlier cut 10,000 jobs in North America, around 26.3% of its global workforce and held debts worth $19 billion, with reportedly almost 7,00,000 vehicles sitting idle."
4,business,"Jeff Bezos, Zuckerberg highest-earning billionaires in US amid lockdown",Pragya Swastik,"Amazon CEO Jeff Bezos and Facebook CEO Mark Zuckerberg were the highest-earning billionaires since US lockdown began from March 18 till May 19, according to a report by the Americans for Tax Fairness citing Forbes data. The wealth of the two billionaires grew by $60 billion during the period. The wealth of over 600 US billionaires jumped by $434 billion."
5,business,Alibaba shares fall 6% on slow revenue growth wiping $1.5B from Jack Ma's wealth,Dharna,"The New York-traded shares of Alibaba on Friday fell nearly 6% to $199.70 after the Chinese e-commerce company projected its revenue growth to slow down this year. This wiped off over $1.5 billion from the estimated wealth of its Co-founder Jack Ma. Although Alibaba posted a 22% rise in March-quarter revenue, this was its slowest pace of expansion on record."
6,business,India should aspire to become 2nd or 3rd largest economy by 2047: NITI Aayog VC,Pragya Swastik,"There is a need to convert development into a mass movement and India should aspire to become the second or the third-largest economy in the world by 2047, NITI Aayog Vice-Chairman Rajiv Kumar said on Sunday.  Kumar also said that private sector investment is necessary for the economic growth of India.  Presently, India is the fifth-largest economy in the world."
7,business, Andhra HC passes interim order to seize premises of LG Polymers,Anushka Dixit,"The Andhra Pradesh HC has passed an interim order to seize the premises of LG Polymers after the gas leak at its chemical plant in Vizag killed at least 11 people. No individual, including the company's executives, would be allowed to enter the premises. Moreover, no assets would be allowed to be moved without permission from the court. "
8,business,Bharti Airtel promoter to sell 2.75% stake for $1 bn on May 26: Reports,Anushka Dixit,"Bharti Airtel promoter, Bharti Telecom, is going to sell up to 2.75% stake in the company for $1 billion through a block deal on May 26, reports said. The company plans to sell about 15 crore shares for ₹558 per share. The deal, being conducted by JP Morgan India, might be at a 6% discount to the closing price. "
9,business,"China is the world's factory, India can be its office: Billionaire Uday Kotak",Pragya Swastik,"Kotak Mahindra Bank's CEO Uday Kotak today tweeted, ""China is world's factory, India can be its office."" He asked why should Google pay $200,000 to work-from-home US engineers when they can 'cheaply hire' Indians here to do the same job. In another tweet, he clarified, ""I didn't suggest we underpay Indians by saying 'cheap', only adjusting for purchasing power parity.""
"
10,business,"ITC to buy spices maker Sunrise Foods for a reported ₹1,800-2,000 crore",Dharna,"ITC has agreed to fully acquire spices manufacturer Sunrise Foods Private Ltd (SFPL). While the company did not disclose the value of the deal, reports estimated it to be at around ₹1,800 crore to ₹2,000 crore. This comes as the conglomerate, which already has its own ""Aashirvaad"" range of spices, seeks to scale up its fast-moving consumer goods (FMCG) business."
11,business,Suzuki Motor resumes operations at Gujarat plant after 2 months,Anushka Dixit,Maruti Suzuki India (MSI) on Monday said Suzuki Motor has resumed operations at its Gujarat plant after being shut for over two months. Suzuki Motor had closed its factory on March 23 after the lockdown was announced by the Union and state governments to limit coronavirus spread. The plant currently has a production capacity of 5 lakh units per annum.
12,business,"Allow up to 100% staff for factories in green, amber zones: Parle",Anushka Dixit,"Parle Products said that government should consider relaxing some restrictions for workforce in green and amber zones as meeting demand could be challenging. It said the government must allow up to 100% workforce in factories that aren't in red or containment zones. ""We're a labour-intensive industry and only challenge ahead of the entire industry today is of labour,"" it said. "
13,business,Maruti Suzuki employee at Manesar plant tests positive for COVID-19,Anushka Dixit,"An employee from Maruti Suzuki's Manesar plant has been tested positive for COVID-19 and there may be a second case as of Saturday, the company announced. The employee, who tested positive on Friday, came to work last on May 15 and has now been hospitalised. All employees who may have come in contact with the worker have been quarantined. 
"
14,business,India’s retail trade lost business worth ₹9 lakh crore in 60 days: CAIT,Anushka Dixit,"Traders' body CAIT said India's retail trade lost business worth about ₹9 lakh crore in the last 60 days amid lockdown. Moreover, shops and commercial markets have registered only 5% of business last week since restrictions were eased, it added. This has also caused revenue loss of ₹1.5 lakh crore to both Central and state governments on account of GST."
15,business,"IDFC First Bank CEO takes 30% pay cut, senior management to take 10% cut",Anushka Dixit,"IDFC First Bank's CEO has offered to take a 30% cut in his compensation while the senior management has volunteered to take a 10% pay cut for 2020-21. The bank said it had given full variable pay to 78.2% employees for FY20 despite the COVID-19 crisis. IDFC added it honoured job offers made to new hires before the pandemic hit. 
"
16,business,India's gas output falls by nearly one-fifth in April due to lockdown,Kiran Khatri,"India's natural gas production fell by 18.6% to 2.16 billion cubic metres in April from previous year's 2.65 billion cubic metres due to the lockdown, according to data released by the oil ministry. Top producer ONGC's output dropped by 15.3% to 1.72 billion cubic metres. The country's crude oil production also fell by 6.35% to 2.5 million tonnes in April."
17,business,Future actions to stimulate economy to depend on how pandemic pans out: FM,Kiran Khatri,"Finance Minister Nirmala Sitharaman has said that future fiscal policy actions to stimulate economy will depend on how COVID-19 pandemic pans out. The FM added that making a ""realistic assessment"" of economic growth is difficult as there's no clarity on when the pandemic will end. On Friday, the RBI said India's GDP growth during 2020-21 is likely to be negative."
18,business,World Bank approves $500 million loan for Pakistan,Anushka Dixit,"The World Bank has agreed to grant Pakistan a $500 million loan to help it reduce the impact of coronavirus crisis and improve healthcare quality. The country will repay the loan in 30 years, which is provided by the institution's arm – the International Development Association. Pakistan's public debt-to-GDP ratio is expected to increase from 85% to 90% of GDP. 
"
19,business,US tech executives sold company stock worth over $3.6 bn in May,Anushka Dixit,"Executives from US tech companies have collectively sold company shares worth $3.6 billion in May alone, as per SEC filings. Mastercard CEO Ajay Banga sold company shares worth $23.4 million while Netflix CEO Reed Hastings sold over 50,000 shares for $23.9 million. Maximum shares were sold by shareholder of solar energy company Enphase Energy, selling 13,548,476 shares for $819.6 million. "
20,business,"Urge US to correct its mistakes, says China on US blacklisting 33 entities",Anushka Dixit,"China condemned US' move to add 33 Chinese firms and institutions to its trade blacklist and expressed ""strong dissatisfaction"" and ""opposition"". ""We urge US to correct its mistakes, withdraw the relevant decisions, and stop interfering in China's internal affairs,"" foreign ministry's Zhao Lijian said. US blacklisted the entities over ""national security"" issues and ""human rights violations""."
21,business,We've reached out to countries looking to move business out of China: Punjab CM,Anushka Dixit,"Punjab CM Amarinder Singh said his government has reached out to countries that want to move their business out of China. ""We've written to Japan, Korean and Taiwanese embassies in India and we're in talks with them and offering them all possible support,"" Singh said. India contacted 1,000 US companies in April, seeking to move from China, to offer incentives. "
22,business,"PMLA court summons Rana Kapoor, 7 others on June 5 in Yes Bank case",Kiran Khatri,A special court for Prevention of Money Laundering Act in Mumbai has summoned Yes Bank Founder Rana Kapoor and seven others on June 5. The court issued summons on the basis of a chargesheet filed by the ED in connection with the Yes Bank scam. Rana Kapoor was arrested by the ED in March and is currently in judicial custody.
