Date/Time,Energy Produced (Wh)
10/11/18 0:00,1985
10/12/18 0:00,0
10/13/18 0:00,0
10/14/18 0:00,0
10/15/18 0:00,0
10/16/18 0:00,0
10/17/18 0:00,0
10/18/18 0:00,0
10/19/18 0:00,0
10/20/18 0:00,0
10/21/18 0:00,0
10/22/18 0:00,0
10/23/18 0:00,0
10/24/18 0:00,0
10/25/18 0:00,0
10/26/18 0:00,0
10/27/18 0:00,0
10/28/18 0:00,0
10/29/18 0:00,0
10/30/18 0:00,0
10/31/18 0:00,0
11/1/18 0:00,0
11/2/18 0:00,0
11/3/18 0:00,0
11/4/18 0:00,0
11/5/18 0:00,0
11/6/18 0:00,0
11/7/18 0:00,10777
11/8/18 0:00,7677
11/9/18 0:00,7889
11/10/18 0:00,12209
11/11/18 0:00,5609
11/12/18 0:00,4110
11/13/18 0:00,36114
11/14/18 0:00,37061
11/15/18 0:00,29391
11/16/18 0:00,35673
11/17/18 0:00,20122
11/18/18 0:00,6790
11/19/18 0:00,5008
11/20/18 0:00,29069
11/21/18 0:00,3959
11/22/18 0:00,10918
11/23/18 0:00,26740
11/24/18 0:00,16798
11/25/18 0:00,16335
11/26/18 0:00,34607
11/27/18 0:00,29816
11/28/18 0:00,27088
11/29/18 0:00,23021
11/30/18 0:00,13192
12/1/18 0:00,33702
12/2/18 0:00,32048
12/3/18 0:00,23330
12/4/18 0:00,31099
12/5/18 0:00,8892
12/6/18 0:00,2437
12/7/18 0:00,2336
12/8/18 0:00,8971
12/9/18 0:00,33508
12/10/18 0:00,33184
12/11/18 0:00,17367
12/12/18 0:00,7820
12/13/18 0:00,32056
12/14/18 0:00,16745
12/15/18 0:00,33582
12/16/18 0:00,15777
12/17/18 0:00,19772
12/18/18 0:00,17715
12/19/18 0:00,23745
12/20/18 0:00,33486
12/21/18 0:00,32538
12/22/18 0:00,30708
12/23/18 0:00,31883
12/24/18 0:00,9987
12/25/18 0:00,10002
12/26/18 0:00,2132
12/27/18 0:00,32796
12/28/18 0:00,32903
12/29/18 0:00,5316
12/30/18 0:00,2078
12/31/18 0:00,18806
1/1/19 0:00,13590
1/2/19 0:00,1547
1/3/19 0:00,33096
1/4/19 0:00,33714
1/5/19 0:00,33408
1/6/19 0:00,23778
1/7/19 0:00,15447
1/8/19 0:00,23856
1/9/19 0:00,13892
1/10/19 0:00,16048
1/11/19 0:00,3008
1/12/19 0:00,34621
1/13/19 0:00,28345
1/14/19 0:00,7154
1/15/19 0:00,4826
1/16/19 0:00,6329
1/17/19 0:00,28029
1/18/19 0:00,4070
1/19/19 0:00,37001
1/20/19 0:00,35260
1/21/19 0:00,30265
1/22/19 0:00,5702
1/23/19 0:00,36837
